"global_id";"ID";"Name";"OnTerritoryOfMoscow";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"VestibuleType";"NameOfStation";"Line";"CulturalHeritageSiteStatus";"ModeOnEvenDays";"ModeOnOddDays";"FullFeaturedBPAAmount";"LittleFunctionalBPAAmount";"BPAAmount";"RepairOfEscalators";"ObjectStatus";
"1773548";"447";"Братиславская, вход-выход 5 в северный вестибюль";"да";"Юго-Восточный административный округ";"район Марьино";"37.7526435";"55.660114";"подземный";"Братиславская";"Люблинско-Дмитровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"";"2";"2";"nested data";"действует";
"1773549";"446";"Братиславская, вход-выход 4 в северный вестибюль";"да";"Юго-Восточный административный округ";"район Марьино";"37.7517426";"55.6600507";"подземный";"Братиславская";"Люблинско-Дмитровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"";"2";"2";"nested data";"действует";
"1773550";"91";"Бульвар адмирала Ушакова, вход-выход 1 в вестибюль";"да";"Юго-Западный административный округ";"район Южное Бутово";"37.5416454";"55.5450107";"наземный отдельностоящий";"Бульвар адмирала Ушакова";"Бутовская линия Лёгкого метро";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:08:00, по 2 пути в 01:18:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:08:00, по 2 пути в 01:18:00";"";"2";"2";"nested data";"действует";
"1773551";"502";"Бульвар Дмитрия Донского, вход-выход 7 в северный вестибюль";"да";"Юго-Западный административный округ";"район Северное Бутово";"37.576311";"55.570289";"подземный";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:03:00; последний поезд по 1 пути в 01:03:00";"3";"3";"6";"nested data";"действует";
"1773552";"501";"Бульвар Дмитрия Донского, вход-выход 6 в северный вестибюль";"да";"Юго-Западный административный округ";"район Северное Бутово";"37.577084";"55.570140";"подземный";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:03:00; последний поезд по 1 пути в 01:03:00";"3";"3";"6";"nested data";"действует";
"1773553";"89";"Бунинская аллея, вход-выход в вестибюль";"да";"Юго-Западный административный округ";"район Южное Бутово";"37.5149399";"55.5376805";"наземный отдельностоящий";"Бунинская аллея";"Бутовская линия Лёгкого метро";"объект культурного наследия регионального значения";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:57:00; последний поезд по 1 пути в 01:03:00";"";"3";"3";"nested data";"действует";
"1773554";"383";"Варшавская, вход-выход 1 в вестибюль 2";"да";"Южный административный округ";"Нагорный район";"37.61799526";"55.65310984";"подземный";"Варшавская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:332:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:41:20, по 2 пути в 01:56:10";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:32:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:39:00, по 2 пути в 01:51:00";"";"3";"3";"nested data";"действует";
"1773555";"384";"Варшавская, вход-выход 3 в вестибюль 1";"да";"Южный административный округ";"Нагорный район";"37.62064528";"55.65318567";"подземный";"Варшавская";"Большая кольцевая линия";"не является объектом культурного наследия";"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:37:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:19:00";"";"";"";"nested data";"действует";
"1773556";"277";"Калужская, вход-выход 1 в южный вестибюль";"да";"Юго-Западный административный округ";"район Черёмушки";"37.5402196";"55.6563232";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"3";"5";"nested data";"действует";
"1773557";"281";"Калужская, вход-выход 10 в северный вестибюль";"да";"Юго-Западный административный округ";"Обручевский район";"37.5409869";"55.6581538";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"1";"3";"nested data";"действует";
"1773558";"151";"Кантемировская, вход-выход 3 в южный вестибюль";"да";"Южный административный округ";"район Царицыно";"37.657120";"55.634606";"подземный";"Кантемировская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"1";"3";"4";"nested data";"действует";
"1773559";"152";"Кантемировская, вход-выход 1 в южный вестибюль";"да";"Южный административный округ";"район Царицыно";"37.657574";"55.635106";"подземный";"Кантемировская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"1";"3";"4";"nested data";"действует";
"1773560";"149";"Кантемировская, вход-выход 5 в северный вестибюль";"да";"Южный административный округ";"район Царицыно";"37.655215";"55.636769";"подземный";"Кантемировская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"3";"";"3";"nested data";"действует";
"1773562";"284";"Калужская, вход-выход 7 в северный вестибюль";"да";"Юго-Западный административный округ";"район Черёмушки";"37.5418665";"55.6578591";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"1";"3";"nested data";"действует";
"1773563";"150";"Кантемировская, вход-выход 6 в северный вестибюль";"да";"Южный административный округ";"район Царицыно";"37.656052";"55.636968";"подземный";"Кантемировская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:56:00; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:51:00";"3";"";"3";"nested data";"действует";
"1773564";"448";"Братиславская, вход-выход 6 в северный вестибюль";"да";"Юго-Восточный административный округ";"район Марьино";"37.7521499";"55.6599107";"подземный";"Братиславская";"Люблинско-Дмитровская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:12:00";"";"2";"2";"nested data";"действует";
"1773565";"791";"Беговая, вход-выход 1 во 2-й вестибюль";"да";"Северный административный округ";"Хорошёвский район";"37.54459";"55.7733859";"подземный";"Беговая";"Таганско-Краснопресненская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"2";"3";"5";"nested data";"действует";
"1773566";"790";"Беговая, вход-выход 2 во 2-й вестибюль";"да";"Северный административный округ";"Хорошёвский район";"37.5446657";"55.774";"подземный";"Беговая";"Таганско-Краснопресненская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"2";"3";"5";"nested data";"действует";
"1773567";"792";"Беговая, вход-выход 5 в 1-й вестибюль";"да";"Центральный административный округ";"Пресненский район";"37.5488844";"55.7732229";"подземный";"Беговая";"Таганско-Краснопресненская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"1";"4";"5";"nested data";"действует";
"1773568";"794";"Беговая, вход-выход 3 в 1-й вестибюль";"да";"Северный административный округ";"Хорошёвский район";"37.549137";"55.774375";"подземный";"Беговая";"Таганско-Краснопресненская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 06:05:00; последний поезд по 1 пути в 01:22:00, по 2 пути в 01:44:00";"1";"4";"5";"nested data";"действует";
"1773569";"394";"Белорусская, вход-выход 1 в западный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.5826448";"55.7753945";"наземный, встроенный в здание";"Белорусская";"Кольцевая линия";"объект культурного наследия регионального значения";"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:33:00, по 2 пути в 05:55:00, последний поезд по 1 пути в 01:20:00, по 2 пути в 01:38:00";"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:33:00, по 2 пути в 05:53:00, последний поезд по 1 пути в 01:30:00, по 2 пути в 01:20:00";"3";"6";"9";"nested data";"действует";
"1773570";"129";"Белорусская, вход 6 в вестибюль";"да";"Центральный административный округ";"Тверской район";"37.582170";"55.777269";"наземный, встроенный в здание";"Белорусская";"Замоскворецкая линия";"выявленный объект культурного наследия";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:52:00, по 2 пути в 05:38:00, последний поезд по 1 пути в 01:46:00, по 2 пути в 01:23:00";"открытие в 05:30:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:52:00, по 2 пути в 05:38:00, последний поезд по 1 пути в 01:46:00, по 2 пути в 01:23:00";"2";"5";"7";"nested data";"действует";
"1773571";"396";"Белорусская, вход-выход 2 в восточный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.585696";"55.777448";"подземный";"Белорусская";"Кольцевая линия";"объект культурного наследия регионального значения";"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:33:00, по 2 пути в 05:55:00, последний поезд по 1 пути в 01:20:00, по 2 пути в 01:38:00";"открытие в 05:25:00, закрытие в 01:00:00, первый поезд по 1 пути в 05:33:20, по 2 пути в 05:54:00, последний поезд по 1 пути в 01:27:30, по 2 пути в 01:46:45";"3";"3";"6";"nested data";"действует";
"1773572";"267";"Беляево, вход-выход 1 в южный вестибюль";"да";"Юго-Западный административный округ";"район Коньково";"37.525406";"55.641896";"подземный";"Беляево";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:49:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:52:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:49:00";"2";"2";"4";"nested data";"действует";
"1773573";"269";"Беляево, вход-выход 4 в южный вестибюль";"да";"Юго-Западный административный округ";"район Коньково";"37.5258884";"55.641490";"подземный";"Беляево";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:49:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:52:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:49:00";"2";"2";"4";"nested data";"действует";
"1773574";"271";"Беляево, вход-выход 5 в северный вестибюль";"да";"Юго-Западный административный округ";"район Коньково";"37.5267264";"55.643846";"подземный";"Беляево";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:43:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:49:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:52:00, по 2 пути в 05:58:00; последний поезд по 1 пути в 01:12:00, по 2 пути в 01:49:00";"2";"3";"5";"nested data";"действует";
"1773577";"57";"Киевская, вход-выход 6 из вестибюля к пригородным поездам";"да";"Западный административный округ";"район Дорогомилово";"37.564427";"55.742922";"наземный, встроенный в здание";"Киевская";"Арбатско-Покровская линия";"выявленный объект культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:38:03";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:32:00, по 2 пути в 01:38:00";"1";"15";"16";"nested data";"действует";
"1773579";"400";"Киевская, вход-выход 3 в вестибюль";"да";"Западный административный округ";"район Дорогомилово";"37.567119";"55.743792";"подземный";"Киевская";"Кольцевая линия";"объект культурного наследия регионального значения";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:00, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:37:00, по 2 пути в 01:20:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:28:00, по 2 пути в 01:22:00";"";"5";"5";"nested data";"действует";
"1773580";"401";"Киевская, вход-выход 4 в вестибюль";"да";"Западный административный округ";"район Дорогомилово";"37.56757";"55.743743";"подземный";"Киевская";"Кольцевая линия";"объект культурного наследия регионального значения";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:00, по 2 пути в 05:49:00; последний поезд по 1 пути в 01:37:00, по 2 пути в 01:20:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:00, по 2 пути в 05:44:00; последний поезд по 1 пути в 01:28:00, по 2 пути в 01:22:00";"";"5";"5";"nested data";"действует";
"1773581";"324";"Китай-город, вход-выход 1 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.630006";"55.756247";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773582";"328";"Китай-город, вход-выход 3 в северный вестибюль";"да";"Центральный административный округ";"Тверской район";"37.630777";"55.757007";"подземный";"Китай-город";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:48:00; последний поезд по 1 пути в 01:35:00, по 2 пути в 01:26:00";"";"4";"4";"nested data";"действует";
"1773583";"279";"Калужская, вход-выход 6 в южный вестибюль";"да";"Юго-Западный административный округ";"район Коньково";"37.538449";"55.655638";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"3";"5";"nested data";"действует";
"1773584";"275";"Калужская, вход-выход 3 в южный вестибюль";"да";"Юго-Западный административный округ";"Обручевский район";"37.5393716";"55.6565991";"подземный";"Калужская";"Калужско-Рижская линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:45:00, по 2 пути в 05:40:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:00, по 2 пути в 05:55:00; последний поезд по 1 пути в 01:15:00, по 2 пути в 01:47:00";"2";"3";"5";"nested data";"действует";
"1773592";"103";"Водный стадион, вход-выход 2 в южный вестибюль";"да";"Северный административный округ";"Войковский район";"37.487262";"55.839091";"наземный отдельностоящий";"Водный стадион";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:47:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:10:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:59:00, по 2 пути в 01:10:00";"1";"1";"2";"nested data";"действует";
"1773593";"106";"Войковская, вход-выход 3 в северный вестибюль";"да";"Северный административный округ";"Войковский район";"37.4966084";"55.8198862";"подземный";"Войковская";"Замоскворецкая линия";"не является объектом культурного наследия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:58:00, по 2 пути в 05:46:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:13:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:00, по 2 пути в 05:46:00; последний поезд по 1 пути в 01:56:00, по 2 пути в 01:13:00";"2";"3";"5";"nested data";"действует";
